idcurrency,name,description,network,abbreviation,price
1,Solana,"Solana es un proyecto de código abierto altamente funcional que se basa en la naturaleza sin permiso de la tecnología blockchain para proporcionar soluciones financieras descentralizadas (DeFi). Si bien la idea y el trabajo inicial en el proyecto comenzaron en 2017, Solana fue lanzada oficialmente en marzo de 2020 por la Fundación Solana con sede en Ginebra, Suiza.	",Solana,sol,32.57
2,Bitcoin,"Bitcoin es una criptomoneda descentralizada presentada originalmente en un documento técnico en 2008 por una persona, o grupo de personas, utilizando el alias Satoshi Nakamoto. Se lanzó poco después, en enero de 2009	",Bitcoin,btc,19750
3,Polkadot,"Polkadot es un protocolo de sharding multicadena de código abierto que facilita la transferencia entre cadenas de cualquier tipo de datos o activos, no solo tokens, lo que hace que una amplia gama de blockchains puedan interoperar entre sí.	",Polkadot,dot,7.52
4,PancakeSwap,"Se lanzó en septiembre de 2020 y es un intercambio descentralizado por el intercambio de tokens BEP20 en Binance Smart Chain. PancakeSwap utiliza un modelo de creador de mercado automatizado en el que los usuarios negocian con un grupo de liquidez. Estos fondos comunes los llenan los usuarios que depositan sus fondos en el fondo común y reciben tokens de proveedor de liquidez (LP) a cambio.	","Binance Smart Chain	",cake,4.5
5,Matic,"MATIC, los tokens nativos de Polygon, son un token ERC-20 que se ejecuta en la cadena de bloques Ethereum. Los tokens se utilizan para servicios de pago en Polygon y como moneda de liquidación entre usuarios que operan dentro del ecosistema Polygon. Las comisiones por transacción en las cadenas laterales de Polygon también se pagan en tokens MATIC.",Polygon,matic,0.85
6,"Axie Infinity","Axie Infinity es un juego de comercio y lucha basado en blockchain que es parcialmente propiedad de sus jugadores y está operado por ellos. stos Axies pueden tomar varias formas, y hay más de 500 partes diferentes del cuerpo disponibles, incluidas partes acuáticas, de bestias, pájaros, insectos, plantas y reptiles.",Etherium,axs,13.8
7,BNB,"BNB se lanzó a través de una oferta inicial de monedas en 2017, 11 días antes de que el exchange de criptomonedas Binance se pusiera en marcha. Originalmente se emitió como un token ERC-20 que se ejecutaba en la red de Ethereum, con un suministro total limitado a 200 millones de monedas y 100 millones de BNB ofrecidos en la ICO.","Binance Smart Chain	",bnb,280
8,Cardano,"Cardano fue fundada en 2017, y las token de ADA están diseñadas para asegurar que los propietarios puedan participar en el funcionamiento de la red. Debido a esto, los que poseen esta criptomoneda tienen derecho a votar sobre cualquier cambio propuesto en el software.",Cardano,ADA,0.47
